rowid,track_id,year,period,rank,top_20,word_count,mtld,avg_word_length,repetition_score,hapax_ratio,compression_ratio,ttr,song,artist
1,/wiki/Breathe_(Faith_Hill_song),2000,2000-2005,1,top20,256,59.920679886685555,3.89453125,0.1038961038961039,0.16796875,0.3250798722044728,0.3671875,Breathe,Faith Hill
2,/wiki/Smooth_(Santana_song),2000,2000-2005,2,top20,363,34.73417104276069,3.7300275482093666,0.10784313725490197,0.12396694214876033,0.29110981987216733,0.3168044077134986,Smooth,Santana & Rob Thomas
3,/wiki/Maria_Maria,2000,2000-2005,3,top20,403,34.93862369029574,4.076923076923077,0.08530805687203792,0.18610421836228289,0.30791788856304986,0.3523573200992556,Maria Maria,Santana & The Product G&B
4,/wiki/I_Wanna_Know_(Joe_song),2000,2000-2005,4,top20,509,31.937254901960785,3.4341846758349703,0.15315315315315314,0.11984282907662082,0.26669615214506853,0.22986247544204322,I Wanna Know,Joe
5,/wiki/Everything_You_Want_(Vertical_Horizon_song),2000,2000-2005,5,top20,334,37.53374794712328,4.161676646706587,0.10204081632653061,0.16167664670658682,0.2861288450377249,0.32335329341317365,Everything You Want,Vertical Horizon
6,/wiki/Say_My_Name,2000,2000-2005,6,top20,1010,12.870941558441558,3.714851485148515,0.3385093167701863,0.054455445544554455,0.1959234608985025,0.15742574257425743,Say My Name,Destiny's Child
7,/wiki/I_Knew_I_Loved_You_(Savage_Garden_song),2000,2000-2005,7,top20,318,13.006946317777178,3.358490566037736,0.1724137931034483,0.1289308176100629,0.2548736462093863,0.24842767295597484,I Knew I Loved You,Savage Garden
8,/wiki/Amazed,2000,2000-2005,8,top20,258,44.04187629023626,3.6666666666666665,0.09615384615384616,0.1744186046511628,0.3183707398171239,0.34108527131782945,Amazed,Lonestar
9,/wiki/Bent_(song),2000,2000-2005,9,top20,290,50.18663274745606,3.7482758620689656,0.1206896551724138,0.20689655172413793,0.32752360203340597,0.3689655172413793,Bent,Matchbox Twenty
10,/wiki/He_Wasn%27t_Man_Enough,2000,2000-2005,10,top20,720,32.96176526536047,3.7125,0.18285714285714286,0.09444444444444444,0.2649722465673386,0.21805555555555556,He Wasn't Man Enough,Toni Braxton
11,/wiki/Higher_(Creed_song),2000,2000-2005,11,top20,286,28.90129659643436,3.8636363636363638,0.06666666666666667,0.16433566433566432,0.3010057471264368,0.3356643356643357,Higher,Creed
12,/wiki/Try_Again_(Aaliyah_song),2000,2000-2005,12,top20,725,13.397611478527434,3.6441379310344826,0.21390374331550802,0.05931034482758621,0.18548148148148147,0.15724137931034482,Try Again,Aaliyah
13,"/wiki/Jumpin%27,_Jumpin%27",2000,2000-2005,13,top20,905,26.914030889718333,3.985635359116022,0.0535279805352798,0.08287292817679558,0.18755477651183172,0.18453038674033148,"Jumpin', Jumpin'",Destiny's Child
14,/wiki/Thong_Song,2000,2000-2005,14,top20,1025,17.464846980976013,3.4185365853658536,0.17943925233644858,0.02829268292682927,0.1644620811287478,0.11804878048780487,Thong Song,Sisqó
15,/wiki/Kryptonite_(3_Doors_Down_song),2000,2000-2005,15,top20,291,37.197091238839285,3.738831615120275,0.07792207792207792,0.1718213058419244,0.3149492017416546,0.3436426116838488,Kryptonite,3 Doors Down
16,/wiki/There_You_Go,2000,2000-2005,16,top20,610,28.715810276679843,3.7114754098360656,0.10476190476190476,0.1,0.2309556786703601,0.2262295081967213,There You Go,Pink
